Intersection,CrashCount,Latitude,Longitude
CST E 31ST ST & CST MAIN ST,36,39.0710243,-94.58533940000001
CST E 55TH ST & CST SWOPE PKWY,36,39.0260859,-94.5421966
CST BLUE RIDGE CUTOFF & CST SNI A BAR RD,36,39.0311072,-94.48042339999999
CST LONGVIEW RD & US 71,36,39.0966226,-94.5729289
CST N JEFFERSON AVE & CST NW BARRY RD,36,39.2468075,-94.6569937
CST E 43RD ST & CST PROSPECT AVE,36,39.0482385,-94.55398009999999
IS 435 & US 40,36,39.009252,-94.2697168
IS 70 & RP 6101,36,39.1139719,-94.6164971
CST CLEVELAND AVE & CST E 31ST ST,36,39.06943,-94.5390675
MO 152 & RP 5433,35,39.2556341,-94.603027
CST DENVER AVE & CST INDEPENDENCE AVE,35,39.1053032,-94.5214444
CST EASTWOOD TRFY & RP 103846,35,39.0997265,-94.5785667
CST E 55TH ST & CST THE PASEO,35,39.0269836,-94.5679962
CST E 77TH ST & US 71,35,39.0966226,-94.5729289
CST E 39TH ST & CST EUCLID AVE,35,39.055695,-94.5607414
CST E 39TH ST & CST WALNUT ST,35,39.0565347,-94.5849178
CST CLARY BLVD & CST CLEAVER II BLVD,35,39.0462754,-94.5240652
CST E 43RD ST & CST STERLING AVE,35,39.0441575,-94.4477462
CST E 9TH ST & CST THE PASEO,35,39.1030054,-94.5633881
CST W 57TH ST & CST WARD PKWY,35,39.0245774,-94.60264930000001
CST THE PASEO & US 71,35,39.0966226,-94.5729289
CST INDEPENDENCE AVE & CST NORTON AVE,35,39.1057427,-94.5341857
CST W 85TH TER & CST WARD PKWY,35,38.9733246,-94.6060382
CST STADIUM DR & US 40,35,39.0625389,-94.47823919999999
CST SOUTHWEST BLVD & CST SUMMIT ST,34,39.0847219,-94.5938367
IS 35 & RP 904720,34,37.9418219,-96.7515814
CST PROSPECT AVE & CST SWOPE PKWY,34,39.02064,-94.541803
CST CLEAVER II BLVD & RP 982821,34,39.0429242,-94.5598962
CST E 63RD ST & CST INDIANA AVE,34,39.0120897,-94.5468586
CST E 12TH ST & US 71,34,39.0966226,-94.5729289
CST N PLATTE PURCHASE DR & CST NW BARRY RD,34,39.2465412,-94.60084739999999
CST BELMONT BLVD & CST CHOUTEAU TRFY,34,39.1149889,-94.50912609999999
CST STATE LINE RD & CST W 103RD ST,34,38.9420881,-94.60829299999999
CST E 18TH ST & CST PROSPECT AVE,34,39.0908301,-94.5518266
CST E 89TH ST & CST HOLMES RD,34,38.9663881,-94.5815288
CST ARARAT DR & CST EASTWOOD TRFY,34,39.0308928,-94.5038192
CST DR MARTIN LUTHER KING JR BLVD & CST ROCKHILL RD,34,39.0385027,-94.5786341
MO 152 & US 169,34,39.2602157,-94.5872693
CST E 19TH ST & US 71,34,39.0966226,-94.5729289
CST BLUE RIDGE BLVD & CST WORNALL RD,34,38.89024819999999,-94.595236
CST ARMOUR BLVD & CST TROOST AVE,34,39.0632395,-94.5717142
CST N STODDARD AVE & CST NW BARRY RD,34,39.2470632,-94.6639981
CST INDEPENDENCE AVE & CST MYRTLE AVE,33,39.1057834,-94.5353544
CST BROADWAY BLVD & CST VALENTINE RD,33,39.06126769999999,-94.5905052
CST BANNISTER RD & CST MARION RIDGE DR,33,38.9532732,-94.5265608
CST BLUE RIDGE BLVD & CST E 79TH ST,33,38.9806625,-94.4860472
CST BENTON BLVD & CST E 31ST ST,33,39.0697626,-94.5493809
CST CHOUTEAU TRFY & CST NE 46TH ST,33,39.17727199999999,-94.5395479
RP 278996 & US 71,33,39.0966226,-94.5729289
CST CLEVELAND AVE & CST E 43RD ST,33,39.0477398,-94.5401579
CST W 12TH ST & IS 35,33,39.0996773,-94.5836099
CST WEST PENNWAY ST & IS 35,33,39.0875214,-94.5933352
IS 435 & RP 227854,33,39.1945658,-94.76269
CST STERLING AVE & RP 905551,33,39.0997265,-94.5785667
CST W 63RD ST & CST WARD PKWY,33,39.0145286,-94.60251749999999
CST CHOUTEAU TRFY & CST GARDNER ST,33,39.1274025,-94.5198923
CST MAIN ST & CST W 39TH ST,33,39.0569628,-94.5966726
CST BLUE RIDGE BLVD & CST E 99TH ST,33,38.9443949,-94.508332
CST NW BARRY RD & RP 227498,33,39.2468075,-94.6569937
CST MAIN ST & CST W 31ST ST,33,39.0714453,-94.5961972
CST NW BARRY RD & RP 103606,33,39.2468075,-94.6569937
CST W 75TH ST & CST WYANDOTTE ST,33,38.9922325,-94.5918734
